Postcode,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated,Total
3923,0,274,0,0,0,0,206,0,37,516
3925,45,1537,12,9,3,14,1452,29,286,3377
3926,20,1377,4,3,3,11,1478,10,348,3240
3927,12,694,0,0,0,9,774,5,168,1671
3928,0,176,0,0,0,0,190,9,39,413
3929,7,428,0,3,0,0,377,4,88,906
3930,159,9161,73,23,31,48,7084,68,1252,17889
3931,168,12802,48,38,34,70,8855,88,1887,23991
3933,9,524,0,0,0,0,402,9,152,1101
3934,112,9394,26,17,35,41,7496,82,1344,18547
3936,81,5999,21,31,4,28,3959,51,853,11024
3937,16,545,3,0,10,0,774,7,164,1519
3938,20,1417,4,0,9,6,1120,18,236,2820
3939,133,7211,34,12,17,69,5659,82,1321,14522
3940,30,2691,10,3,3,10,1611,25,541,4930
3941,104,5703,12,15,20,39,5011,71,1191,12174
3942,17,1171,0,4,3,9,841,13,261,2317
3943,10,925,0,0,6,3,472,6,176,1593
3944,3,318,0,0,0,3,140,0,38,510
3945,4,481,0,0,0,0,383,12,96,976
3946,0,129,0,0,0,0,49,7,29,216
3950,33,2528,9,4,0,23,1745,38,424,4798
3951,4,461,0,0,0,0,429,7,106,1005
3953,52,4185,18,7,0,22,2774,31,769,7859
3954,0,194,0,0,0,0,169,0,34,404
3956,15,1238,0,0,0,6,1052,24,490,2818
3957,0,113,0,0,0,0,136,0,30,279
3958,0,133,0,0,0,0,100,0,29,272
3959,4,485,0,0,0,9,523,3,131,1153
3960,26,1142,7,0,0,6,1049,11,232,2477
3962,8,443,0,0,0,6,372,5,81,913
3964,0,57,0,0,0,0,66,0,0,133
3965,0,127,0,0,0,4,52,0,27,208
3966,0,244,0,0,3,5,207,0,38,510
3967,0,62,0,0,0,0,46,0,22,127
3971,35,2190,7,4,3,11,1357,8,402,4017
3975,1287,6399,1423,1340,8,920,2709,77,1079,15246
3976,1868,11833,1153,3059,5,695,4352,94,2464,25532
3977,3240,43584,4304,4274,135,2905,27107,451,7320,93322
3978,763,5127,671,332,3,300,2597,59,792,10648
3979,0,146,0,0,0,0,147,0,24,315
3980,21,1564,9,11,0,19,1391,13,322,3350
3981,27,2627,14,15,0,28,1640,23,530,4901
3984,39,2606,3,7,0,16,2015,14,502,5212
3987,3,775,3,0,0,14,600,12,118,1527
3988,0,516,0,9,0,3,381,4,87,1001
3990,0,54,0,0,0,0,43,0,8,110
3991,3,184,0,0,0,7,138,0,36,357
3992,11,476,0,0,0,5,397,4,68,966
3995,110,5033,42,17,5,41,3793,33,1091,10171
3996,40,2753,10,11,4,21,2204,22,481,5541
6000,575,4500,348,325,53,81,4945,89,3573,14492
6003,135,1094,75,28,15,12,1484,18,765,3626
6004,494,3974,449,425,37,95,3778,40,2251,11548
6005,174,2049,192,110,27,37,2081,23,1098,5796
6006,224,3911,58,71,47,46,3259,47,852,8506
6007,139,2874,97,46,44,46,2930,48,736,6953
6008,321,6661,202,149,70,84,6163,56,1881,15591
6009,498,9169,325,457,113,118,6810,80,1719,19297
6010,197,8826,145,103,67,95,5424,58,1647,16568
6011,63,4649,46,16,38,37,3143,41,715,8745
6012,158,4271,100,55,9,45,2959,41,923,8567
6014,686,10031,475,170,58,155,6940,57,1564,20132
6015,70,3834,38,19,37,29,2019,11,390,6443
6016,364,4235,509,138,36,82,3632,34,740,9773
6017,160,1630,412,180,0,67,1162,26,347,3988
6018,641,19469,548,272,83,223,12694,170,3039,37139
6019,281,10253,137,134,66,100,8262,139,2052,21415
6020,217,11811,103,81,48,88,6569,92,1223,20238
6021,501,11997,677,402,41,257,4186,76,1695,19822
6022,101,2649,41,43,11,39,1664,24,293,4866
6023,133,8484,152,68,13,46,5147,53,881,14977
6024,205,7209,84,93,24,75,4559,63,713,13018
6025,339,16239,221,247,35,124,10102,135,1867,29304
6026,224,12969,157,75,32,112,7118,50,1190,21924
6027,572,21728,304,542,34,247,14377,216,3116,41133
6028,213,13019,199,220,26,181,6900,74,1122,21956
6029,27,1413,0,0,14,3,993,11,203,2658
6030,575,19477,344,565,34,332,13530,160,3192,38213
6031,197,8226,350,286,10,229,5832,84,1072,16289
6032,3,96,0,0,0,0,69,0,16,192
6033,30,231,0,0,0,0,109,0,59,434
6034,4,724,9,11,0,8,694,15,153,1616
6035,62,3959,21,19,4,30,3523,22,924,8570
6036,137,7776,132,156,14,82,5502,75,1626,15499
6037,23,1318,18,3,0,12,1205,0,312,2899
6038,53,2917,82,43,0,45,2333,31,624,6137
6041,9,799,3,0,0,6,504,3,158,1483
6042,0,26,0,0,0,0,30,0,3,60
6043,5,124,0,3,0,0,58,0,51,245
6044,17,605,0,0,0,0,421,0,114,1162
6050,293,7044,151,128,483,70,5246,73,1732,15220
6051,351,4729,631,438,24,251,4435,90,1153,12098
6052,258,5511,100,184,53,58,3796,52,849,10865
6053,372,6754,241,260,38,124,5327,71,1040,14236
6054,565,9883,264,309,12,166,6903,152,1731,19990
6055,420,10104,965,496,34,546,5926,82,2074,20640
6056,426,20135,339,280,24,298,13253,222,3666,38646
6057,172,8566,71,133,15,76,5910,93,1321,16357
6058,184,6216,189,277,14,97,4384,80,1031,12475
6059,952,12396,363,939,1295,257,5179,67,1581,23035
6060,758,11044,843,608,650,370,6537,104,2023,22937
6061,1998,16613,1352,4233,54,989,8753,178,3787,37957
6062,1561,17218,674,1101,418,339,8143,120,2538,32106
6063,884,6675,465,1205,18,221,3571,37,1078,14146
6064,2237,15943,237,1983,15,222,7861,130,2333,30959
6065,1541,32249,2178,1534,52,679,18230,267,3870,60610
6066,1114,9390,181,1274,67,106,5027,95,1155,18410
6067,0,27,0,0,0,0,29,0,6,69
6068,0,6,0,0,0,0,3,0,0,7
6069,539,19517,883,627,26,643,13079,182,3048,38545
6070,31,1736,5,0,3,22,1484,15,255,3558
6071,40,1573,3,3,9,26,1404,19,228,3303
6072,3,405,0,0,0,3,306,0,160,877
6073,32,1648,0,5,5,15,1042,12,214,2969
6074,15,479,0,0,0,8,353,6,93,958
6076,185,12325,40,37,17,73,6883,81,1618,21252
6077,56,884,6,7,0,0,365,0,76,1398
6078,13,536,0,3,0,5,264,3,64,896
6079,0,19,0,0,0,0,7,0,0,27
6081,33,2108,8,3,0,26,1982,41,346,4549
6082,55,1362,9,7,8,17,1414,32,222,3118
6083,41,1622,5,16,0,15,1338,14,341,3391
6084,60,4124,0,29,15,36,2832,24,924,8053
6090,0,3,0,0,0,0,0,0,0,3
6100,483,5835,653,509,17,185,5122,60,1686,14549
6101,474,6521,362,712,3,201,5943,93,1853,16155
6102,900,5267,456,1063,16,270,3887,68,1684,13598
6103,375,4035,292,615,12,147,3136,70,1556,10236
6104,447,6811,280,711,8,155,4049,85,1830,14374
6105,478,6565,372,1421,8,191,3984,66,1613,14704
6106,0,0,0,0,0,0,0,0,13,13
6107,1892,18717,2180,3981,8,1371,11199,222,3433,42991
6108,960,11102,417,1920,10,303,6570,116,1369,22779
6109,308,5647,538,1170,5,268,2929,63,1025,11946
6110,965,19024,1377,2875,10,626,11838,232,3143,40094
6111,355,10973,276,359,19,196,8317,138,1975,22600
6112,1257,27119,2100,1204,22,1189,17972,286,4477,55615
6121,20,1654,5,19,0,5,1020,8,191,2922
6122,179,8002,303,220,8,373,6653,82,1195,17006
6123,16,715,11,0,0,17,596,12,157,1518
6124,6,630,0,0,0,0,405,3,118,1172
6125,19,1636,4,0,4,9,1076,11,305,3061
6126,33,138,0,0,0,0,86,0,361,618
6147,1073,6414,484,1059,8,277,4461,45,1026,14853
6148,953,8572,708,533,20,181,5167,79,1194,17416
6149,752,9712,458,214,19,190,5648,61,1053,18104
6150,699,7340,316,198,4,129,3571,49,1579,13884
6151,376,7730,293,322,55,144,5730,85,1691,16426
6152,911,12341,416,835,28,205,8015,126,2239,25116
6153,578,10456,314,282,33,225,6077,66,1370,19406
6154,203,5395,66,110,18,81,3153,48,730,9802
6155,2925,23421,2804,2253,10,929,14173,148,3825,50480
6156,238,9093,96,102,7,54,5731,65,1181,16560
6157,164,6800,46,50,14,54,4867,73,1095,13164
6158,79,3564,19,15,10,47,2807,21,639,7212
6159,38,1415,9,8,17,3,1312,17,408,3222
6160,161,3045,55,45,33,37,3851,65,1326,8615
6161,6,106,0,3,0,0,112,3,331,562
6162,170,4640,19,55,34,71,4718,88,984,10782
6163,883,25818,411,602,51,317,16373,264,4592,49303
6164,1154,29020,1129,686,31,540,19217,241,3956,55963
6165,0,34,0,0,0,4,30,0,15,84
6166,78,6124,21,39,3,50,2316,33,650,9307
6167,339,11886,426,275,7,371,9010,119,3452,25894
6168,337,12231,114,156,10,176,8249,167,2965,24396
6169,377,17091,98,130,20,193,12596,191,2782,33482
6170,167,5697,556,230,14,308,4028,79,994,12076
6171,246,14580,269,216,13,188,12018,155,2783,30472
6172,130,6698,52,64,7,63,5004,67,1159,13235
6173,90,5809,16,51,3,34,4754,68,736,11549
6174,22,1734,9,17,0,11,1468,49,309,3615
6175,15,1807,4,10,0,10,1421,26,302,3591
6176,7,660,9,6,0,14,491,9,158,1354
6180,64,2669,30,15,0,19,1948,35,357,5137
6181,0,276,0,0,0,0,165,0,54,490
6182,0,0,0,0,0,0,0,0,0,0
6207,7,517,7,0,0,3,362,0,100,997
6208,82,6186,7,27,3,40,3887,55,1106,11396
6209,16,1076,3,0,6,6,613,16,139,1878
6210,769,36252,340,248,40,377,21962,292,5494,65774
6211,69,3701,11,5,6,28,2312,26,514,6680
6213,5,378,0,0,0,0,241,5,107,741
6214,0,321,0,0,0,3,229,0,35,586
6215,27,2218,0,6,0,32,1190,27,497,3996
6218,0,208,0,0,0,0,135,11,24,385
6220,22,2885,6,11,0,7,1158,7,505,4604
6221,0,208,0,0,0,0,135,0,139,488
6223,0,127,0,0,0,0,55,0,35,216
6224,6,652,0,0,0,0,353,10,99,1119
6225,54,4621,10,11,0,40,3211,33,870,8857
6226,4,514,0,0,0,0,231,0,45,797
6227,4,464,0,0,0,0,229,3,65,774
6228,3,118,0,0,0,0,35,0,20,171
6229,0,106,0,0,0,0,47,4,27,184
6230,478,22063,258,276,35,244,14514,196,4057,42126
6232,97,5384,34,79,0,55,3934,38,830,10464
6233,128,9458,62,80,9,84,6625,90,1495,18024
6236,9,1259,0,0,0,0,577,22,157,2020
6237,8,1406,0,0,0,9,777,4,190,2399
6239,36,2213,14,22,0,28,1400,19,453,4186
6240,0,55,0,0,0,0,45,0,11,118
6243,0,41,0,0,0,0,20,0,7,61
6244,10,790,0,0,0,5,446,14,128,1389
6251,3,213,0,0,0,8,105,0,55,383
6252,4,68,0,0,0,0,49,0,27,148
6253,15,256,0,0,14,7,251,4,63,609
6254,5,288,0,0,0,6,160,0,48,505
6255,48,1864,0,0,4,24,1471,20,395,3826
6256,0,176,0,0,0,0,158,3,37,375
6258,40,3254,12,36,3,21,2364,28,706,6467
6260,21,799,0,12,0,6,493,8,211,1546
6262,6,275,0,0,0,7,331,9,90,717
6271,33,1525,0,0,0,20,1299,10,266,3159
6275,14,558,0,0,0,7,549,14,177,1321
6280,284,14228,70,153,11,133,9795,153,2742,27572
6281,95,3156,19,10,0,18,2882,40,622,6842
6282,22,634,0,0,6,15,494,5,149,1320
6284,25,793,8,0,0,6,1023,10,282,2141
6285,158,3176,21,41,10,47,4642,62,1051,9207
6286,7,214,0,0,0,0,303,3,65,595
6288,5,237,0,9,0,0,238,0,59,547
6290,17,854,0,0,6,7,591,0,169,1641
6302,16,1864,0,4,0,9,1197,10,445,3550
6304,11,914,0,0,0,9,476,12,214,1641
6306,7,582,0,0,0,9,292,0,146,1033
6308,10,840,5,0,0,3,472,3,206,1540
6309,0,135,0,0,0,0,61,0,49,246
6311,4,268,5,0,0,3,190,0,85,555
6312,31,2764,28,10,0,15,1460,10,556,4884
6313,0,141,0,0,0,0,81,4,51,279
6315,14,1056,0,0,0,4,576,12,245,1911
6316,0,161,0,0,0,0,122,0,37,328
6317,69,1918,26,404,0,8,1068,10,638,4138
6318,6,240,0,0,0,0,160,0,84,493
6320,3,380,0,0,0,0,125,0,84,595
6321,0,269,0,0,0,0,146,3,44,470
6322,0,97,0,0,0,0,79,0,36,217
6323,7,410,0,0,0,9,420,3,104,951
6324,14,1595,4,94,4,31,1210,22,502,3478
6326,0,223,0,0,0,0,198,0,53,475
6327,0,124,0,0,0,0,123,0,19,269
6328,0,205,0,0,0,0,170,0,40,419
6330,268,17198,93,76,16,241,13574,200,3405,35069
6333,93,2022,11,0,6,52,2792,20,744,5744
6335,3,470,0,3,0,3,196,4,89,762
6336,0,147,0,0,0,0,119,0,61,327
6337,3,231,0,0,0,0,222,0,98,550
6338,0,302,0,0,0,0,262,0,92,653
6341,0,142,0,0,0,5,94,0,47,289
6343,0,123,0,0,0,3,67,3,50,245
6346,5,470,0,4,0,6,294,0,132,914
6348,3,395,0,0,0,6,282,4,105,804
6350,0,156,0,0,0,0,97,0,29,289
6351,0,45,0,0,0,0,38,0,3,81
6352,0,95,0,0,0,0,65,0,37,201
6353,0,459,3,0,0,0,206,3,92,769
6355,0,244,0,0,0,0,122,0,37,406
6356,0,73,0,0,0,0,45,0,7,123
6357,0,49,0,0,0,0,15,0,3,68
6358,0,52,0,0,0,0,36,0,4,97
6359,0,373,0,7,3,0,157,0,95,641
6361,0,56,0,0,0,0,40,0,0,99
6363,3,55,0,0,0,0,31,0,10,97
6365,0,295,0,0,0,6,150,6,52,504
6367,4,186,0,3,0,3,97,0,41,335
6368,0,44,0,0,0,0,23,0,4,77
6369,0,397,0,0,0,0,184,3,64,646
6370,5,234,0,0,0,0,189,0,20,449
6372,0,48,0,0,0,0,41,0,27,118
6373,0,62,0,0,0,0,27,0,13,100
6375,5,525,3,0,0,5,289,5,97,933
6383,8,568,0,0,0,0,254,0,134,968
6384,0,25,0,0,0,0,8,0,0,34
6385,0,15,0,0,0,0,12,0,3,21
6386,0,66,0,0,0,0,17,0,13,101
6390,20,1041,18,11,0,17,918,22,210,2267
6391,4,545,0,0,0,0,300,8,104,958
6392,0,245,0,0,0,0,178,0,41,469
6393,0,67,0,0,0,0,32,0,8,109
6394,0,300,0,0,0,0,116,0,50,466
6395,3,897,0,0,0,4,481,5,201,1592
6396,5,176,0,0,0,6,100,3,51,342
6397,0,27,0,0,0,0,50,0,22,96
6398,3,268,0,0,0,0,205,0,62,544
6401,39,4352,22,25,3,42,2272,41,1406,8200
6403,0,109,0,0,0,0,46,0,10,160
6405,0,188,0,0,0,0,108,0,13,315
6407,3,665,0,6,0,4,330,4,151,1163
6409,0,227,0,0,0,0,101,0,60,394
6410,0,586,0,0,0,3,315,0,126,1030
6411,4,71,0,0,0,0,26,0,20,118
6412,4,27,0,0,0,0,17,0,10,50
6413,0,33,0,0,0,0,16,0,3,46
6414,0,51,0,0,0,0,15,0,7,70
6415,12,1549,0,7,0,14,1138,13,269,3003
6418,0,412,0,0,0,7,193,3,69,685
6419,0,29,0,0,0,0,31,0,0,55
6420,0,42,0,0,0,0,30,0,24,96
6421,0,88,0,0,0,0,33,0,29,147
6422,0,27,0,0,0,0,14,0,8,51
6423,3,159,0,0,0,3,72,4,41,273
6424,0,60,0,0,0,0,8,0,13,85
6425,0,54,0,0,0,0,21,0,17,92
6426,5,543,0,9,0,3,306,3,195,1059
6427,0,141,0,3,0,0,124,3,88,367
6428,0,39,0,0,0,0,15,0,0,52
6429,3,510,0,0,0,12,300,3,164,996
6430,226,11608,295,181,8,117,7619,134,2831,23028
6431,14,637,5,7,0,66,342,8,440,1527
6432,56,3262,20,36,0,32,2509,39,1152,7115
6434,0,151,0,3,0,0,90,0,30,279
6436,0,60,0,0,0,0,51,0,31,149
6437,13,442,0,0,0,4,397,9,466,1335
6438,15,532,5,3,0,16,446,9,423,1451
6440,21,1067,16,10,0,18,789,39,601,2560
6442,31,1167,5,11,0,9,1090,14,573,2902
6443,14,728,3,9,0,10,473,9,486,1731
6445,0,93,0,0,0,0,60,3,35,190
6446,0,46,0,0,0,0,52,0,19,122
6447,0,79,0,0,0,0,54,0,36,168
6448,0,301,0,0,0,0,114,0,45,458
6450,82,6780,14,6,3,51,4489,56,1797,13284
6452,0,0,0,0,0,0,0,0,21,23
6460,0,458,0,0,3,3,183,0,96,742
6461,0,294,0,0,0,0,187,0,36,520
6462,0,78,0,0,0,4,36,0,20,134
6463,0,13,0,0,0,0,3,0,0,12
6465,0,18,0,0,0,0,9,0,0,28
6466,9,37,0,0,0,0,13,0,11,64
6467,0,19,0,0,0,0,3,0,9,29
6468,0,125,0,0,0,0,75,0,33,229
6470,0,12,0,0,0,0,0,0,0,15
6472,0,137,0,0,0,0,39,0,15,191
6473,0,32,0,0,0,0,9,0,0,42
6475,0,231,0,0,0,0,125,0,26,386
6476,0,33,0,0,0,0,24,0,0,59
6477,0,143,0,0,0,0,84,4,31,264
6479,6,341,0,0,0,0,134,0,52,534
6480,0,29,0,0,0,0,11,0,3,50
6484,3,95,0,0,0,0,69,0,81,251
6485,5,224,5,3,0,0,174,0,86,492
6487,0,21,0,0,0,0,20,0,9,53
6488,0,98,0,0,0,0,64,0,32,195
6489,0,46,0,0,0,0,25,0,17,89
6490,0,126,0,0,0,0,90,0,23,241
6501,9,454,0,0,0,4,360,6,105,930
6502,7,589,0,0,0,0,427,4,124,1155
6503,35,1152,0,11,0,11,694,4,223,2135
6504,0,87,0,0,0,0,36,7,15,150
6505,0,68,0,0,0,0,35,0,12,112
6506,0,37,0,0,0,0,12,0,6,57
6507,0,365,3,4,0,0,177,0,93,645
6509,0,108,0,4,0,0,50,0,56,218
6510,4,1214,5,0,0,4,552,5,225,2009
6511,6,289,0,0,0,5,164,0,81,555
6512,0,47,0,0,0,0,35,0,10,95
6513,0,130,0,0,0,0,68,0,20,215
6514,7,326,0,0,0,0,224,3,56,616
6515,0,161,0,0,0,0,116,0,21,302
6516,29,860,3,5,0,4,704,8,161,1770
6517,0,250,0,0,0,0,107,0,44,405
6518,3,141,0,0,0,0,100,0,16,253
6519,0,333,0,7,0,0,208,0,56,601
6521,0,230,0,0,0,0,119,0,19,377
6522,8,329,0,0,0,0,157,0,80,576
6525,33,2128,0,4,0,7,1210,12,290,3676
6528,8,223,0,0,0,6,105,5,58,399
6530,299,17901,157,512,14,121,9818,168,3179,32165
6532,67,3699,3,39,4,20,1974,18,1021,6838
6535,3,1058,0,0,0,0,459,4,153,1678
6536,30,1388,0,0,0,10,731,6,433,2599
6537,7,1111,4,3,0,7,600,6,212,1950
6556,16,958,0,0,0,9,824,11,172,1986
6558,10,383,0,0,0,11,270,0,1941,2613
6560,4,685,9,4,0,8,459,5,137,1304
6562,8,655,0,4,0,5,462,5,95,1234
6564,7,162,0,0,0,3,117,0,16,312
6566,55,1690,0,9,0,13,1079,3,375,3221
6567,3,186,0,0,0,6,164,3,53,417
6568,0,133,0,0,0,0,61,0,17,213
6569,0,141,0,0,0,0,99,0,29,266
6571,3,43,0,0,0,0,30,0,4,71
6572,0,31,4,0,0,0,22,0,3,56
6574,0,40,0,0,0,0,24,0,17,81
6575,0,62,0,0,0,0,45,0,18,131
6603,4,652,0,0,0,3,384,6,53,1105
6605,0,30,0,0,0,0,9,0,0,38
6606,0,103,0,0,0,0,50,0,14,164
6608,0,77,0,0,0,0,49,0,14,136
6609,12,540,0,0,0,0,213,10,76,848
6612,0,131,0,0,0,7,88,0,39,265
6613,0,25,0,0,0,0,21,0,9,58
6614,0,15,0,0,0,0,6,0,0,19
6616,0,20,0,0,0,0,27,0,7,54
6620,5,409,0,3,0,0,288,9,139,856
6623,6,412,7,0,0,5,230,4,66,728
6625,0,38,0,0,0,0,0,0,16,50
6627,0,26,0,0,0,0,32,0,0,63
6628,0,26,0,0,0,0,18,0,0,46
6630,0,419,0,0,0,0,168,0,172,767
6631,0,23,0,0,0,0,7,0,0,30
6632,0,50,0,0,0,0,13,0,5,69
6635,0,325,0,0,0,8,241,11,182,767
6638,7,305,0,0,0,5,198,4,176,696
6639,0,86,0,0,0,0,33,0,24,146
6640,0,160,0,0,0,0,119,0,99,390
6642,17,647,0,0,0,12,554,10,582,1819
6646,19,601,5,5,0,11,472,16,363,1490
6701,153,4239,35,13,5,18,2416,31,1373,8282
6705,0,131,0,0,0,5,183,5,98,418
6707,24,2416,9,0,4,7,1798,24,490,4773
6710,149,3318,73,61,7,29,2124,64,2169,7999
6711,0,0,0,0,0,0,0,0,10,10
6712,160,2490,61,68,3,21,1706,50,1044,5596
6713,19,520,0,0,0,0,494,13,125,1174
6714,325,8673,230,163,13,79,6731,117,3290,19622
6716,15,518,7,3,0,14,426,13,132,1129
6718,3,429,0,0,0,36,303,9,291,1079
6720,38,1400,21,8,0,9,1019,14,570,3086
6721,71,2925,38,45,3,22,2054,48,1150,6357
6722,154,4410,91,425,3,52,3491,62,2283,10979
6725,175,7145,41,51,8,48,4596,77,2142,14288
6726,81,4261,17,33,21,25,2791,22,1267,8528
6728,32,4047,13,12,0,189,1804,13,1157,7267
6731,0,0,0,0,0,0,0,0,5,5
6733,0,0,0,0,0,0,0,0,3,3
6740,5,987,0,5,0,5,469,8,437,1916
6743,89,4210,29,17,6,60,3034,23,1284,8744
6751,100,3475,49,37,5,117,2886,72,1684,8418
6753,151,4650,90,72,5,75,3765,84,3429,12318
6754,19,684,18,12,0,3,630,9,364,1736
6758,34,1025,11,12,3,22,911,33,542,2589
6760,3,390,6,0,0,65,397,9,168,1034
6762,5,502,3,9,0,27,506,9,332,1400
6765,11,1312,5,3,0,31,516,4,368,2252
6770,16,1959,7,11,4,35,570,9,852,3460
2600,132,3458,103,69,42,30,2754,32,623,7247
2601,289,1488,167,195,25,42,3323,47,777,6365
2602,1092,10381,403,520,119,204,14773,232,2732,30448
2603,156,4243,173,176,47,47,3471,50,1007,9357
2604,186,4120,182,179,30,78,4312,66,1222,10382
2605,196,5536,316,191,40,74,4236,59,1093,11726
2606,274,4246,409,313,20,140,2949,84,994,9420
2607,251,7116,451,322,27,151,4261,59,969,13613
2609,11,429,3,0,0,0,267,5,176,885
2612,450,5254,317,334,49,73,7605,130,1979,16185
2614,431,8085,318,498,38,164,8238,159,1455,19388
2615,906,22014,737,1027,20,396,15549,257,3274,44173
2617,926,13701,889,940,62,308,12436,206,3027,32499
2900,65,781,258,53,0,21,571,17,161,1924
2902,167,7466,133,163,7,116,5522,83,1243,14900
2903,175,4804,92,165,17,74,3130,62,697,9207
2904,236,7138,159,238,18,73,3953,62,987,12864
2905,586,15286,353,538,11,234,9394,167,2052,28621
2906,431,9526,200,336,6,126,5651,96,1261,17636
2911,145,1796,348,264,5,52,1548,22,290,4462
2912,243,2464,367,254,6,108,2155,35,501,6140
2913,1349,15868,1518,1264,19,442,11620,227,2757,35058
2914,780,11359,1848,1281,10,481,7699,108,1644,25202
