Postcode,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
3212,25,5,4,7,31,30,29,45,37,124,114,171,155,134,75,72,29,31,8,4,0,0,0,50,4781
3213,12,0,4,0,0,3,0,10,17,37,22,12,7,12,9,11,6,0,5,0,0,0,0,4,1261
3214,100,78,56,435,169,213,208,482,553,690,335,228,51,45,7,5,9,14,3,6,0,0,7,169,6682
3215,59,20,32,97,51,80,112,141,108,254,248,403,200,191,79,67,18,48,13,4,7,0,0,64,6946
3216,119,38,37,178,119,232,180,275,182,426,492,747,435,572,315,274,107,237,60,27,23,13,31,166,18054
3217,11,0,0,0,3,4,0,10,8,11,4,13,13,88,141,84,27,26,9,0,0,0,0,8,1936
3218,43,16,22,76,67,110,172,201,126,205,196,255,109,156,87,76,20,103,14,4,5,0,8,48,4484
3219,49,32,37,192,88,167,164,242,166,351,331,367,158,147,72,50,15,31,7,0,0,0,4,100,6795
3220,43,16,17,58,50,83,82,127,91,188,216,267,107,142,125,135,53,180,59,18,8,6,7,63,5693
3221,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,249
3222,35,3,3,20,3,14,16,57,38,125,146,144,97,114,61,28,13,12,5,0,0,0,3,31,5520
3223,42,3,10,14,8,28,20,47,69,162,112,97,38,47,19,9,4,9,0,0,0,0,0,34,5630
3224,23,0,5,10,7,18,15,34,25,69,78,130,87,170,80,51,17,22,3,0,0,0,0,35,4960
3225,32,4,4,7,5,10,14,6,11,21,23,37,19,43,21,13,4,12,0,0,0,0,3,11,3263
3226,57,5,9,24,11,21,23,55,30,76,59,126,106,150,101,121,49,75,7,4,0,0,5,23,6259
3227,18,6,0,17,3,3,0,10,7,21,0,24,12,30,16,29,14,44,14,0,0,0,3,12,2379
3228,62,9,8,10,12,14,15,30,10,43,47,92,57,129,102,160,96,352,77,19,3,4,4,38,7512
3230,12,0,3,13,3,6,4,12,10,17,15,26,11,26,16,23,5,3,0,0,4,0,0,7,2709
3231,12,0,0,4,0,3,5,0,4,3,0,11,4,12,7,4,0,5,0,0,0,0,0,9,1687
3232,13,0,0,4,3,3,3,6,4,4,6,5,6,15,11,14,0,13,0,3,0,0,0,10,1748
3233,24,0,0,13,16,4,11,15,18,34,18,38,12,23,4,4,0,0,0,0,0,0,5,16,2060
3234,4,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,5,467
3235,3,0,0,5,0,6,3,3,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,220
3236,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
3237,5,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
3238,0,3,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
3239,10,0,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,243
3240,9,4,0,0,0,0,0,6,3,6,5,0,0,6,4,0,0,0,0,0,0,0,0,4,712
3241,13,0,4,17,4,5,14,23,22,25,15,16,5,3,0,0,0,4,0,0,0,0,0,9,979
3242,10,0,0,0,3,9,8,11,6,3,7,4,0,0,0,0,0,0,0,0,0,0,0,4,357
3243,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,182
3249,35,7,4,11,6,18,12,24,14,17,4,3,0,6,6,0,0,0,0,0,0,0,0,7,1281
