POSTCODES,Major Cities of Australia ,Inner Regional Australia ,Outer Regional Australia ,Remote Australia ,Very Remote Australia ,Migratory - Offshore - Shipping ,Total
2786,0,796,0,0,0,0,796
2787,0,2122,67,0,0,0,2193
2790,0,7305,0,0,0,0,7307
2791,0,172,0,0,0,0,172
2792,0,13,190,0,0,0,206
2793,0,125,438,0,0,0,567
2794,0,4431,429,0,0,0,4857
2795,0,17466,578,0,0,0,18041
2797,0,0,187,0,0,0,187
2798,0,854,0,0,0,0,854
2799,0,1676,117,0,0,0,1788
2800,0,18954,243,0,0,0,19193
2803,0,0,156,0,0,0,156
2804,0,731,542,0,0,0,1267
2805,0,0,203,0,0,0,203
2806,0,0,394,0,0,0,394
2807,0,0,238,0,0,0,238
2808,0,0,162,0,0,0,162
2809,0,0,114,0,0,0,114
2810,0,0,1596,0,0,0,1596
2817,0,0,161,0,0,0,161
2818,0,0,346,0,0,0,346
2820,0,0,3149,0,0,0,3149
2821,0,0,2114,0,0,0,2114
2822,0,0,199,0,0,0,199
2823,0,0,662,0,0,0,662
2824,0,0,805,292,0,0,1098
2825,0,0,0,1157,0,0,1157
2826,0,0,0,84,0,0,84
2827,0,0,1705,0,0,0,1705
2828,0,0,307,146,0,0,458
2829,0,0,0,1549,0,0,1549
2830,0,15655,1369,0,0,0,17029
2831,0,0,433,454,31,0,921
2832,0,0,0,1111,289,0,1397
2833,0,0,0,361,0,0,361
2834,0,0,0,1612,24,0,1638
2835,0,0,0,2005,201,0,2209
2836,0,0,0,0,451,0,451
2838,0,0,0,0,103,0,103
2839,0,0,0,0,592,0,592
2840,0,0,0,872,549,0,1414
2842,0,0,322,0,0,0,322
2843,0,0,622,0,0,0,622
2844,0,0,761,0,0,0,761
2845,0,795,0,0,0,0,795
2846,0,110,76,0,0,0,187
2847,0,1060,0,0,0,0,1060
2848,0,710,192,0,0,0,905
2849,0,0,912,0,0,0,912
2850,0,5270,3026,0,0,0,8298
2852,0,0,1638,0,0,0,1638
2864,0,37,294,0,0,0,335
2865,0,0,401,0,0,0,401
2866,0,1001,301,0,0,0,1298
2867,0,0,303,0,0,0,303
2868,0,0,301,0,0,0,301
2869,0,0,759,0,0,0,759
2870,0,0,5386,0,0,0,5386
2871,0,0,4274,0,0,0,4274
2873,0,0,0,283,0,0,283
2874,0,0,217,21,0,0,239
2875,0,0,456,68,0,0,521
2876,0,0,194,0,0,0,194
2877,0,0,1413,426,0,0,1840
2878,0,0,0,23,177,0,197
2879,0,0,0,3,454,0,457
2880,0,0,9654,168,134,0,9963
2898,0,0,0,0,224,0,224
6000,6868,0,0,0,0,0,6868
6003,2140,0,0,0,0,0,2140
6004,6589,0,0,0,0,0,6589
6005,3701,0,0,0,0,0,3701
6006,4110,0,0,0,0,0,4110
6007,3509,0,0,0,0,0,3509
6008,7660,0,0,0,0,0,7660
6009,7145,0,0,0,0,0,7145
6010,7648,0,0,0,0,0,7648
6011,4137,0,0,0,0,0,4137
6012,4073,0,0,0,0,0,4073
6014,8870,0,0,0,0,0,8870
6015,2546,0,0,0,0,0,2546
6016,4442,0,0,0,0,0,4442
6017,2402,0,0,0,0,0,2402
6018,16633,0,0,0,0,0,16633
6019,10921,0,0,0,0,0,10921
6020,8500,0,0,0,0,0,8500
6021,8734,0,0,0,0,0,8734
6022,2112,0,0,0,0,0,2112
6023,5706,0,0,0,0,0,5706
6024,5474,0,0,0,0,0,5474
6025,12227,0,0,0,0,0,12227
6026,8466,0,0,0,0,0,8466
6027,16832,0,0,0,0,0,16832
6028,7918,0,0,0,0,0,7918
6029,1128,0,0,0,0,0,1128
6030,15377,0,0,0,0,0,15377
6031,5780,0,0,0,0,0,5780
6032,72,0,0,0,0,0,72
6033,152,0,0,0,0,0,152
6034,719,0,0,0,0,0,719
6035,3575,5,0,0,0,0,3577
6036,5848,0,0,0,0,0,5848
6037,0,1292,0,0,0,0,1292
6038,2592,0,0,0,0,0,2592
6041,0,1076,0,0,0,0,1076
6042,0,84,0,0,0,0,84
6043,0,0,445,0,0,0,445
6044,0,0,1486,0,0,0,1486
6050,6976,0,0,0,0,0,6976
6051,7379,0,0,0,0,0,7379
6052,5017,0,0,0,0,0,5017
6053,6539,0,0,0,0,0,6539
6054,9044,0,0,0,0,0,9044
6055,8132,0,0,0,0,0,8132
6056,17247,0,0,0,0,0,17247
6057,6702,0,0,0,0,0,6702
6058,5412,0,0,0,0,0,5412
6059,10274,0,0,0,0,0,10274
6060,12493,0,0,0,0,0,12493
6061,16931,0,0,0,0,0,16931
6062,13758,0,0,0,0,0,13758
6063,5075,0,0,0,0,0,5075
6064,11523,0,0,0,0,0,11523
6065,22414,0,0,0,0,0,22414
6066,6603,0,0,0,0,0,6603
6067,4,0,0,0,0,0,4
6068,6,0,0,0,0,0,6
6069,14030,299,0,0,0,0,14332
6070,1427,0,0,0,0,0,1427
6071,1344,0,0,0,0,0,1344
6072,347,0,0,0,0,0,347
6073,1310,0,0,0,0,0,1310
6074,386,3,0,0,0,0,389
6076,8474,228,0,0,0,0,8698
6077,545,0,0,0,0,0,545
6078,296,38,0,0,0,0,334
6079,14,0,0,0,0,0,14
6081,1736,0,0,0,0,0,1736
6082,1223,29,0,0,0,0,1258
6083,187,1223,0,0,0,0,1415
6084,155,2918,0,0,0,0,3074
6090,0,0,0,0,0,0,0
6100,7497,0,0,0,0,0,7497
6101,7780,0,0,0,0,0,7780
6102,6181,0,0,0,0,0,6181
6103,5336,0,0,0,0,0,5336
6104,6557,0,0,0,0,0,6557
6105,6565,0,0,0,0,0,6565
6106,3,0,0,0,0,0,3
6107,17264,0,0,0,0,0,17264
6108,8994,0,0,0,0,0,8994
6109,4804,0,0,0,0,0,4804
6110,15765,0,0,0,0,0,15765
6111,9424,190,0,0,0,0,9616
6112,22260,0,0,0,0,0,22260
