Postcode,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not_stated_income,Not_applicable_income,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated_rent,Not applicable_rent
3910,71,1388,874,1181,1362,1372,1477,1535,1840,1865,1306,1006,666,703,236,1284,4412,0,0,0,0,0,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
3911,11,230,128,191,243,232,242,213,282,264,172,133,72,96,57,246,591,8,0,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245
3912,57,1007,559,763,1009,1130,1112,1081,1136,1150,809,592,374,426,152,965,2835,16,0,0,0,0,12,8,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,590
3913,9,242,111,167,229,247,209,243,264,261,196,133,89,84,68,188,587,44,14,13,41,23,53,37,39,28,41,15,8,4,5,0,0,0,0,0,0,0,5,6,19,1794
3915,39,536,303,656,975,960,781,694,727,610,336,250,150,165,87,807,1882,5,0,0,0,5,0,0,3,0,5,0,11,0,5,0,0,0,4,0,0,0,0,0,0,445
3916,3,52,26,41,34,53,68,56,57,80,50,34,36,48,55,126,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
3918,11,240,149,176,284,234,245,240,282,259,179,168,109,85,42,275,730,3,0,3,0,6,3,0,13,0,8,0,7,5,7,0,9,0,0,3,0,0,0,0,8,517
3919,10,195,120,235,243,250,235,236,240,238,127,77,63,54,14,202,650,8,0,0,6,0,6,5,7,7,0,4,15,0,4,0,0,0,0,0,0,0,0,0,7,455
3920,0,16,12,6,10,7,44,348,252,107,63,33,27,10,4,27,71,15,5,0,3,8,0,6,32,10,18,10,12,5,4,0,0,0,4,0,0,0,0,0,4,1013
3921,4,0,5,10,22,23,8,3,3,0,0,3,0,0,3,8,20,3,0,0,0,0,0,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,135
3922,40,355,253,514,840,832,687,594,527,429,209,177,135,126,74,699,1238,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,149
3923,0,25,16,36,67,46,75,37,31,35,18,12,5,7,10,34,61,22,3,12,49,17,60,42,70,32,43,15,14,0,3,0,0,0,0,0,0,0,0,0,18,2677
3925,14,176,104,226,284,321,282,219,236,221,146,127,66,76,41,238,599,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,4,180
3926,4,173,129,143,188,220,248,197,226,232,172,139,93,134,117,264,568,6,6,3,9,10,6,4,4,6,17,18,29,15,14,5,4,0,0,0,0,0,0,0,3,844
3927,4,85,61,89,111,98,135,104,92,103,78,76,66,78,62,152,270,4,0,0,0,0,3,0,7,3,9,12,22,11,5,7,9,4,7,0,0,0,0,0,3,577
3928,0,36,21,19,14,27,36,29,15,30,18,9,12,17,36,33,60,0,0,4,0,0,0,4,5,0,0,5,3,0,5,4,5,0,3,0,0,0,0,0,0,313
3929,13,47,26,34,44,58,63,62,75,54,43,40,34,50,73,75,120,15,0,0,9,12,15,0,14,9,32,24,32,22,25,16,12,5,3,0,0,0,0,3,11,1417
3930,62,1365,876,807,861,906,1080,894,960,1005,868,812,618,1038,1070,889,3778,5,5,0,4,0,5,7,14,8,6,7,13,5,14,13,9,5,18,9,0,0,4,0,11,1111
3931,69,1414,780,1294,1923,2115,1897,1645,1694,1640,1111,865,631,825,471,1787,3830,3,4,3,5,0,10,0,3,5,10,17,21,21,22,18,12,7,11,0,0,0,0,0,0,1147
3933,8,75,55,53,60,65,69,64,67,82,51,35,36,40,56,109,178,43,19,54,94,40,66,42,53,46,129,140,267,173,196,99,148,59,57,6,5,0,0,3,51,4272
3934,58,1173,722,782,1056,1146,1220,1166,1102,1218,919,816,669,878,597,1059,3976,14,11,4,8,3,13,4,22,21,78,39,89,49,57,48,23,3,6,6,0,0,0,0,11,2078
3936,37,626,414,685,997,943,859,816,751,741,487,403,270,312,178,919,1595,50,37,145,196,105,169,233,360,375,502,134,114,19,20,4,5,0,16,7,3,0,0,4,107,5983
3937,5,91,54,83,71,86,119,86,105,88,73,63,48,87,71,129,259,20,6,4,3,5,8,4,10,5,10,6,10,0,3,0,0,0,0,0,0,0,0,0,5,1012
3938,13,140,91,148,273,253,258,218,205,183,123,121,73,93,54,205,391,47,11,13,39,20,42,27,45,41,82,97,73,76,62,14,5,0,8,4,0,0,0,0,20,3260
3939,64,730,445,932,1573,1634,1337,1012,956,884,534,371,227,260,146,1218,2218,8,0,4,3,9,5,5,8,9,17,8,8,0,0,0,0,0,4,0,0,0,0,0,4,868
3940,14,216,141,334,626,630,472,332,333,255,144,86,43,38,37,635,597,22,15,14,23,5,13,4,5,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,608
3941,32,647,434,773,1109,1135,945,821,868,754,491,345,245,258,125,1048,2125,10,9,10,16,6,17,23,45,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,752
3942,4,118,83,136,200,207,190,168,178,140,115,71,54,66,64,254,267,8,4,0,8,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
3943,10,86,52,94,134,113,146,116,116,95,64,56,46,75,101,171,112,11,3,3,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,174
3944,0,31,15,16,25,18,27,27,35,48,25,21,18,25,99,49,33,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57
3945,3,60,29,60,90,86,69,72,64,84,35,33,15,37,19,62,169,21,6,5,15,5,28,11,25,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,574
3946,0,5,3,12,30,24,13,13,15,10,12,3,3,4,5,25,35,12,0,0,4,9,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,198
3950,13,243,187,352,477,478,368,363,311,267,147,156,78,79,41,349,887,20,13,0,13,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,246
3951,7,60,51,82,75,79,82,64,57,56,46,21,17,19,9,85,200,53,9,9,36,18,31,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,734
3953,50,394,306,432,649,665,600,524,551,494,343,226,156,191,96,628,1575,31,10,12,20,27,46,29,74,29,29,3,0,0,0,0,0,0,0,0,0,0,0,0,18,1279
3954,0,27,26,26,22,29,27,37,27,28,17,15,9,22,0,15,76,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
3956,9,154,85,210,300,241,222,174,179,137,82,63,46,44,37,426,424,12,0,4,0,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,229
3957,3,16,6,18,15,18,24,20,23,17,15,11,0,5,0,20,58,50,29,20,57,70,77,85,105,81,88,31,41,6,7,0,0,0,0,0,0,0,0,0,44,2597
3958,3,18,9,12,24,13,22,10,20,24,16,12,0,7,0,29,51,30,5,9,14,9,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,335
3959,4,58,39,91,78,98,106,83,65,82,41,28,16,16,16,98,227,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
3960,16,115,75,186,288,297,179,161,146,139,95,51,43,57,24,267,341,51,4,9,16,24,41,30,42,11,14,5,0,0,0,0,0,0,0,0,0,0,0,0,17,1446
3962,6,40,31,72,103,122,85,68,56,52,21,19,9,11,16,82,127,9,5,4,9,3,13,11,20,14,25,10,6,0,0,0,0,0,0,0,5,0,0,0,11,1214
3964,0,7,0,12,20,12,14,8,9,8,5,0,0,3,3,7,15,32,12,17,30,27,40,31,40,14,12,5,3,0,0,0,3,0,0,0,0,0,0,0,15,1109
3965,6,13,4,23,24,25,20,16,12,9,7,5,5,0,0,30,12,3,0,0,7,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
3966,8,26,23,43,65,49,32,42,45,39,15,3,4,9,10,36,70,7,0,0,5,6,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
3967,0,4,8,13,13,13,9,8,5,5,0,8,3,5,0,10,19,56,20,44,74,116,101,93,72,26,20,7,7,0,0,0,0,0,0,0,0,0,0,0,32,3130
3971,21,226,159,305,475,436,328,279,256,225,118,90,41,65,49,392,568,52,61,187,332,336,468,352,508,336,374,150,112,48,53,14,14,3,13,3,0,6,0,9,113,8509
3975,74,1503,474,682,588,589,711,958,1155,1208,810,599,379,429,120,863,4107,77,9,12,42,15,48,36,48,23,29,10,24,9,11,9,5,0,3,0,0,0,0,0,18,3580
3976,232,2751,964,1681,1561,1420,1556,1963,2174,1750,904,537,260,214,82,1716,5758,23,3,4,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305
3977,424,7585,3039,4544,5080,4856,5428,6659,7697,7339,4541,3112,1909,2061,708,5650,22701,23,9,0,18,6,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,361
3978,43,810,267,404,429,410,500,716,914,939,661,485,276,319,114,554,2806,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84
3979,0,22,12,17,19,16,22,34,22,27,11,6,0,6,0,22,79,15,3,0,9,3,16,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,347
3980,7,198,85,186,207,219,252,220,268,277,156,131,59,80,28,260,699,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30
3981,24,298,167,292,330,314,300,375,384,361,217,131,82,102,41,472,1016,3,5,0,12,3,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,258
3984,26,297,156,380,571,561,424,364,368,293,156,119,82,78,47,476,817,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
3987,8,106,66,101,117,87,105,93,94,120,58,40,34,27,25,121,333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,79
3988,9,67,37,69,65,87,60,82,73,74,30,32,18,22,12,71,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47
3990,0,7,0,8,15,4,11,9,4,4,13,3,6,5,0,8,10,13,4,0,7,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,183
3991,4,24,16,33,58,33,23,21,13,21,8,9,4,5,5,39,43,6,0,0,0,0,12,6,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,844
3992,4,57,30,77,80,75,84,73,62,66,27,27,7,13,18,64,184,0,0,0,0,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236
3995,39,459,361,785,1190,1127,875,765,612,522,265,208,102,107,88,980,1685,16,0,7,6,7,7,10,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,441
3996,19,248,200,376,572,487,489,383,337,301,212,177,110,165,107,444,923,29,22,16,50,27,66,53,53,12,27,3,10,0,3,0,0,0,0,0,0,0,0,0,15,1281
4000,166,2220,444,758,952,1026,1025,923,1028,1140,856,769,605,1074,885,1786,904,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
4005,76,692,280,549,686,735,820,857,1108,1487,1255,1222,890,1637,1574,2547,1458,6,4,0,0,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187
4006,54,907,236,611,691,836,911,863,1143,1302,982,918,591,985,617,2123,748,24,19,32,55,43,76,80,81,46,54,27,22,9,10,3,0,0,5,0,0,0,0,0,19,2118
4007,38,892,349,437,451,503,543,663,865,1055,723,722,543,959,1194,1186,1651,17,14,3,4,18,26,21,15,6,13,0,4,4,0,0,0,0,0,0,3,0,0,0,6,561
4008,7,16,10,13,15,22,13,27,25,28,14,10,8,6,7,119,26,38,23,67,95,57,148,147,111,42,55,20,31,15,15,0,7,0,6,0,4,0,0,10,38,2688
4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,3,0,8,8,10,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,8,440
4010,7,108,44,78,99,127,140,165,178,207,137,143,93,178,102,224,242,21,19,50,69,39,113,137,108,61,56,25,14,9,13,4,7,0,3,0,6,0,0,0,34,1663
4011,49,980,461,603,609,798,745,830,1007,1130,911,862,547,1004,1115,998,2534,5,0,0,9,5,14,6,12,5,7,4,3,0,0,0,0,0,0,0,0,0,0,0,4,369
4012,63,1212,601,888,981,1231,1217,1294,1686,1853,1448,1307,865,1470,765,1321,3622,24,10,24,41,39,79,61,51,14,26,0,9,3,3,0,0,0,0,5,0,0,0,0,24,1340
4013,21,237,145,248,233,257,223,298,374,368,271,272,134,288,157,287,755,6,0,0,0,0,4,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
4014,24,650,418,542,630,650,697,763,846,916,691,675,441,646,230,810,2273,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
4017,118,2271,1335,1865,2297,2707,2324,2274,2560,2822,2012,1699,1090,1583,727,2031,7165,22,3,0,9,4,11,12,36,26,25,22,35,17,17,7,7,0,4,0,0,0,0,0,14,2009
4018,32,863,325,595,703,957,794,818,1022,1030,671,560,353,477,78,648,2217,30,3,5,18,7,17,21,43,49,46,51,82,22,20,11,10,0,3,0,0,0,0,3,26,1916
4019,64,1104,605,1188,1697,1865,1463,1408,1510,1469,895,724,474,620,259,1377,3386,29,6,6,17,8,32,20,42,34,34,19,20,12,14,0,0,0,0,0,0,0,0,0,10,1673
4020,81,1269,739,1299,1879,1989,1640,1504,1473,1508,1016,849,519,801,443,1903,3132,10,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434
4021,36,570,347,589,865,930,748,733,665,689,352,259,181,150,47,746,1884,32,14,14,23,17,51,32,47,40,75,82,93,45,42,10,13,5,5,0,0,0,0,0,22,2699
4022,28,377,271,426,680,655,539,460,498,443,278,212,103,130,56,614,1402,7,0,0,0,0,4,4,9,7,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,364
4025,3,13,3,17,11,19,31,30,50,43,12,9,5,3,6,86,19,4,3,0,7,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450
4029,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,56,8,0,0,0,0,0,0,0,9,3,4,5,6,5,3,0,0,0,0,0,0,0,0,0,0,387
4030,45,960,431,751,739,961,949,964,1222,1346,1026,944,620,1111,840,1053,2568,3,0,0,0,4,3,0,0,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,4,404
4031,57,684,406,550,591,740,672,784,951,1072,870,805,557,934,568,788,2566,6,0,0,7,0,9,5,10,9,7,7,10,9,14,0,5,0,3,0,0,0,0,0,6,707
4032,51,1050,399,782,1118,1165,1082,1095,1230,1262,859,740,467,600,240,1304,2332,12,3,11,18,3,18,22,39,35,38,12,17,4,10,0,0,0,0,4,0,0,0,0,13,1316
4034,155,2906,1464,2314,2904,3060,3023,3004,3381,3443,2361,2105,1396,1859,817,2485,7785,12,4,0,11,4,10,15,23,11,4,0,0,0,6,0,0,0,0,0,0,0,0,0,5,657
4035,57,1726,1044,1097,1307,1281,1324,1338,1494,1674,1387,1298,951,1454,1007,962,4805,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
4036,27,393,204,301,445,419,416,458,548,614,367,307,155,177,39,277,1346,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,283
4037,18,570,343,347,324,316,345,414,492,575,475,441,347,505,262,265,1936,12,5,7,0,0,3,3,5,4,12,4,5,0,0,0,0,0,0,0,0,0,0,0,5,294
4051,61,1394,908,1214,1187,1545,1371,1444,1848,2137,1731,1523,1054,1887,1572,1530,5120,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
4053,112,2507,1494,2094,2535,2550,2561,2554,2972,3471,2832,2482,1697,2577,1073,2045,8424,0,0,0,0,0,0,0,4,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,111
4054,24,803,475,764,832,909,854,802,864,1033,776,763,442,692,203,556,2823,7,0,0,14,7,8,7,21,24,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,494
4055,42,1367,851,928,955,1050,1060,1076,1281,1508,1194,1155,819,1324,545,715,4691,10,0,4,5,7,7,5,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,367
4059,66,1481,435,768,659,700,886,724,739,923,672,659,466,818,604,1060,1834,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
4060,24,816,530,502,502,601,637,594,705,844,655,642,511,954,1056,599,2863,4,0,0,3,0,5,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
4061,36,1195,705,779,753,808,922,815,887,1061,864,880,695,1178,847,717,3553,5,0,0,6,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
4064,43,583,277,447,422,514,528,521,696,903,695,660,454,865,932,704,1592,19,6,19,19,3,20,14,26,10,10,4,4,0,0,0,0,0,0,0,0,0,0,0,8,674
4065,25,528,347,389,344,404,423,448,485,549,449,486,342,764,950,440,2132,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
4066,69,1624,523,908,838,774,963,861,1058,1243,989,937,634,1114,993,1240,1918,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,90
4067,71,1947,463,848,645,608,780,399,381,475,345,383,252,469,519,770,1070,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
4068,75,2527,919,1337,1156,1256,1414,1203,1337,1557,1253,1184,819,1416,1477,1271,3421,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
4069,88,2826,1514,1607,1416,1409,1616,1422,1663,1937,1562,1595,1237,2506,2677,1719,6832,14,14,11,20,31,47,10,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,906
4070,39,944,497,556,518,522,584,546,674,820,625,626,447,725,414,418,2655,9,3,0,11,3,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,458
4072,15,812,585,420,104,62,46,12,10,7,8,9,3,8,9,49,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
4073,29,673,397,412,362,378,413,422,503,569,425,541,354,695,437,567,1968,15,9,8,14,10,17,9,18,7,10,5,3,0,0,0,0,0,0,0,0,0,0,0,6,583
4074,82,1843,958,1156,1199,1230,1357,1351,1586,1719,1427,1290,912,1373,723,911,4611,7,14,0,11,11,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,343
4075,65,1570,851,1037,1089,1191,1207,1229,1397,1523,1218,1274,868,1431,1141,1413,4843,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,106
4076,25,413,161,389,423,345,313,331,405,321,195,143,81,101,35,3486,950,5,0,0,0,9,5,4,12,0,8,7,6,0,0,0,0,0,0,0,0,0,0,0,4,338
4077,180,2687,1040,2599,2526,2224,1846,2003,2007,1666,860,660,322,315,133,2702,6979,4,0,0,0,0,4,0,0,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,177
4078,95,2176,877,1379,1458,1359,1361,1607,1949,1988,1381,1147,712,913,276,1307,5814,26,9,24,41,13,43,28,63,50,52,42,47,9,17,10,3,0,8,0,3,0,0,0,19,1862
4101,100,2082,669,1195,1264,1240,1293,1234,1307,1611,1310,1250,910,1491,1121,2171,2619,5,7,3,3,3,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
4102,33,683,229,467,524,596,483,421,510,528,401,372,224,364,213,766,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
4103,57,993,467,933,855,964,955,828,946,1190,869,759,503,783,382,1037,1788,13,0,0,5,4,3,3,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,273
4104,18,381,240,357,374,354,340,354,424,442,345,370,252,404,369,599,909,26,6,9,13,18,29,36,52,31,23,9,3,0,0,0,0,0,0,0,0,0,0,0,0,964
4105,30,767,399,752,751,841,754,763,920,1080,787,746,527,739,385,800,2266,5,0,0,8,0,0,3,6,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,185
4106,6,90,40,119,174,93,102,96,125,139,78,65,29,46,14,132,253,16,0,3,4,3,9,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
4107,20,376,171,322,511,433,371,389,456,470,368,280,213,269,65,390,1193,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
4108,55,609,215,395,501,485,418,416,412,406,275,206,109,140,21,452,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
4109,257,5513,1577,2685,2700,2535,2515,2322,2532,2417,1481,1201,712,963,515,2154,5540,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
4110,64,785,363,802,799,757,625,726,791,710,519,338,208,238,75,832,2279,9,7,4,8,3,17,5,7,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,301
4111,9,151,85,133,84,65,77,58,73,63,44,37,31,41,16,95,128,11,5,7,10,0,10,11,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353
4112,51,931,337,465,403,379,429,460,491,516,358,327,244,327,164,279,1955,7,4,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312
4113,176,3776,1162,1719,1955,1831,1885,1899,2171,2173,1350,1069,711,939,428,1367,5301,5,3,0,0,3,8,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
4114,213,2276,949,2701,2430,2288,1825,2118,1997,1416,706,330,192,145,87,2453,6941,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
4115,70,1706,722,1014,1020,1147,1026,1215,1512,1597,1038,885,577,684,219,715,4169,11,3,0,5,4,11,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
4116,149,3135,945,1329,1399,1157,1398,1679,1914,2000,1264,1046,639,824,350,1197,5521,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
4117,3,100,34,61,71,43,85,104,114,133,79,39,33,22,8,75,363,17,6,15,14,6,21,14,22,15,13,9,0,0,3,0,0,0,0,0,0,0,0,0,12,775
4118,158,2264,991,1593,1903,1716,1810,2258,2633,2495,1573,1070,594,617,178,1629,6920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
4119,21,612,198,362,299,343,352,359,482,459,341,266,169,211,86,292,1474,10,3,0,0,7,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,386
4120,28,521,205,435,459,597,588,559,749,749,565,515,376,567,258,592,1186,39,5,10,11,10,17,10,43,19,30,13,33,14,16,4,11,0,7,5,0,0,0,0,14,2694
4121,68,1481,828,1144,1371,1431,1355,1297,1417,1683,1401,1376,1026,1733,1073,1249,5338,13,0,5,3,9,3,0,10,3,18,5,9,0,0,0,0,0,0,0,0,0,0,0,3,552
4122,156,3609,1599,2443,2852,2835,2601,2612,2838,3060,2235,2100,1442,2020,774,2675,8005,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
4123,51,1410,625,849,1106,1014,1079,1181,1364,1469,1103,925,558,699,291,828,3926,9,4,0,16,8,4,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245
4124,65,1505,631,999,1231,1271,1095,1351,1413,1446,992,786,464,546,181,1049,4652,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
4125,30,530,267,438,690,553,532,498,486,513,315,249,167,170,57,490,1165,6,5,4,4,14,22,22,21,14,14,5,9,0,0,0,0,0,0,0,3,0,0,0,4,1163
4127,123,2020,845,1523,1701,1657,1708,1825,1972,1957,1279,1000,640,733,292,1575,5540,18,5,0,9,21,26,23,13,10,9,5,0,0,0,3,0,0,0,0,0,0,0,0,6,791
4128,69,1114,605,797,898,875,919,1110,1279,1424,1038,807,517,672,287,867,3235,57,44,161,203,149,348,259,209,128,162,54,44,33,17,11,3,3,3,0,0,0,0,0,82,5467
4129,20,424,207,312,399,330,368,464,534,523,359,267,137,139,35,298,1471,25,5,4,5,7,15,8,27,8,16,3,0,0,0,4,0,0,0,0,0,0,0,0,4,369
4130,20,508,320,446,528,462,536,550,597,680,487,423,295,400,220,412,1654,0,0,0,5,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,162
4131,64,737,345,714,714,689,618,806,823,670,400,273,136,132,52,916,2352,21,16,29,54,13,34,29,60,40,107,30,38,9,10,0,0,0,0,0,0,0,0,0,21,1917
4132,146,1952,751,1495,1527,1456,1536,1947,2126,1689,879,513,262,200,73,2127,7527,14,0,0,7,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229
4133,89,1213,492,948,1289,1209,1156,1358,1431,1347,797,518,293,301,128,1270,3930,23,5,22,32,23,57,58,68,65,99,38,48,19,11,3,5,0,4,6,0,0,0,3,26,2231
4151,43,846,442,624,789,925,933,952,1182,1425,1009,956,687,1072,830,1037,2539,34,5,28,14,14,41,35,50,53,94,30,49,10,12,4,0,0,0,5,0,0,0,0,18,2895
4152,123,2939,1623,1987,2385,2394,2444,2405,2993,3334,2442,2415,1708,2922,1935,2382,8267,3,0,6,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206
4153,17,323,169,184,213,204,245,260,315,347,239,248,167,253,151,157,891,9,0,0,12,0,0,0,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,447
4154,20,726,396,343,332,351,485,480,582,738,585,628,434,764,605,385,3120,19,3,14,16,3,17,12,29,17,26,8,4,0,3,0,0,0,0,0,5,0,0,0,9,1441
4155,7,100,82,76,76,63,79,84,99,85,56,50,36,59,127,85,278,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
4156,14,287,157,158,128,125,132,141,177,198,163,173,114,210,165,112,684,29,9,25,23,14,15,18,20,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1326
4157,51,1193,653,1024,1377,1330,1187,1369,1621,1575,1044,841,466,637,277,841,3544,21,8,3,14,19,17,9,26,24,8,3,4,0,0,0,0,0,0,0,0,0,0,0,10,2030
