Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2146,9890,52548,45926,8324,56450,51440,1496,-2340,-2133,9890,54702,47845,9890,2139,800,797,96415,25160,752,82109,11462,7560,14344,10683,11489,82717,36170
2147,19871,53102,46310,16813,57108,51626,2987,-2745,-2081,19871,55359,48394,19871,2227,850,1605,57640,28138,1540,39294,12249,15465,14199,10634,23648,90317,41343
2148,34358,48383,43716,29337,51993,48703,3988,-1904,-1910,34358,50475,45736,34358,2073,837,3211,70257,29295,3031,53758,13485,26574,12083,9297,40323,61872,25931
2150,19415,51291,43794,16974,54020,48884,2087,-3409,-2663,19415,53131,45481,19415,1815,586,1541,101543,24398,1398,90455,10434,14596,14260,10223,22604,50082,12317
2151,11868,57034,47034,9547,61063,53634,2245,-1840,-1458,11868,59531,49208,11868,2427,715,1119,107941,30446,1074,91209,13004,8998,16927,11809,13605,111187,40630
2152,6498,59793,49996,5216,64693,58272,1014,-2196,-1860,6498,62728,52332,6498,2906,876,599,86573,26697,580,66538,10850,4980,18010,12876,7270,110656,49164
2153,34703,63623,49440,27598,68227,57492,7767,-2729,-2052,34703,66365,51693,34703,2651,749,2837,89346,30540,2725,63115,14373,26292,20477,13914,38594,137838,60893
2154,24777,68889,47902,18877,71321,55817,5821,-2936,-2093,24777,72032,50395,24777,3071,702,1934,107509,30860,1823,79021,14196,18404,24217,14151,26855,169852,61538
2155,32411,67212,54113,27497,70445,60560,6824,-5264,-3546,32411,70340,56897,32411,3045,1035,2618,89683,31104,2552,64392,14145,25898,20781,14590,34847,109148,55689
2156,8694,97768,47944,6156,70638,50962,1935,641,-394,8694,101422,50416,8694,3455,553,714,223183,41240,684,193115,17624,6502,42581,14917,9167,238954,72622
2157,2344,63095,43132,1654,58996,46656,446,3685,2148,2344,65741,44831,2344,2523,480,285,100631,52803,279,75307,25718,1743,21420,11060,2518,147666,52463
2158,5653,89926,48497,4117,70330,50816,1287,2248,-11,5653,93431,50782,5653,3364,552,505,194588,34331,488,196120,15900,4252,36207,14313,6059,220453,60703
2159,3243,69827,45091,2280,68482,50128,686,2156,1048,3243,73944,47962,3243,2970,594,334,100148,39196,327,70509,22411,2403,25066,12483,3503,204743,61731
2160,17577,45808,38767,13825,49448,44689,2622,-80,-508,17577,47922,40486,17577,2060,605,2357,64523,33418,2199,46559,16522,12906,11781,8134,20176,57291,18371
2161,13431,43900,37591,10400,47977,44334,1799,-995,-993,13431,45919,39250,13431,1986,574,1956,78475,38874,1864,59968,18315,9794,10941,7654,15702,51987,17227
2162,8287,45878,38987,6471,49863,45937,1226,-279,-1024,8287,47885,40667,8287,1971,597,961,69683,38581,907,50293,19723,6042,11836,8279,9688,67639,22631
2163,3549,40987,37124,2892,44517,42404,371,-1344,-1569,3549,42868,38807,3549,1872,575,379,51545,33600,367,31973,15764,2495,9939,7187,4606,42202,12904
2164,9514,50021,42503,7699,51697,47500,1609,1820,-179,9514,52350,44590,9514,2279,824,886,80771,38930,861,58974,19142,7313,12999,9055,11138,76188,28987
2165,16704,44199,38121,13581,46850,43309,2484,-240,-776,16704,46197,39820,16704,1973,656,1797,86140,39574,1714,66661,18359,12221,10979,7637,20149,49917,17508
2166,23453,42852,37016,19336,44823,40757,3624,-77,-336,23453,44674,38362,23453,1762,525,1982,123805,43830,1894,104259,22463,16777,10576,7211,28947,42449,14393
2167,5293,52694,47234,4650,56577,52154,795,-2941,-2338,5293,55029,49445,5293,2325,1019,380,42303,22624,366,27497,12954,4221,13538,10311,6054,70101,32727
2168,18773,46527,41557,16122,49351,45797,2316,-2122,-2106,18773,48830,43580,18773,2275,915,1650,70387,40915,1596,48810,20050,14489,11155,8302,23119,52041,21159
2170,49825,50610,43579,41398,53689,48840,7207,-1311,-1657,49825,53089,45819,49825,2448,903,4959,80150,39005,4807,59222,18489,38554,13195,9321,58272,69134,28653
2171,19626,56251,48002,16704,58450,52552,3638,-2020,-2089,19626,59170,50648,19626,2867,1215,1741,94428,41420,1688,71695,20707,15891,15024,10802,21242,75792,38614
2172,1599,68485,56548,1379,69265,61502,451,-3730,-2166,1599,71292,60000,1599,2806,1194,99,294586,31869,94,281616,15470,1297,20624,15586,1721,142353,69091
2173,8424,59651,53466,7568,62764,58809,1566,-4609,-3130,8424,62486,56356,8424,2822,1312,548,99765,34700,535,80956,16786,6911,16200,12855,9459,99507,53836
2174,1356,59532,51898,1173,63700,57368,239,-2467,-2565,1356,62462,55192,1356,2893,1380,124,65332,45787,125,40660,20509,1138,15672,12036,1363,63992,34171
2175,1085,61496,45713,796,55587,47274,298,6526,3176,1085,64830,48794,1085,2981,750,110,129309,46176,106,102536,23212,838,19077,11704,1173,134226,37018
2176,23994,50285,42466,19569,52541,47281,4852,493,-382,23994,52613,44754,23994,2290,852,2199,93174,41941,2164,68472,19535,18461,13163,9201,27439,77150,30522
2177,7572,47883,42002,6437,50522,46111,1307,-1034,-888,7572,50161,44104,7572,2214,854,625,88065,42500,605,68474,23483,5838,11882,8744,9013,56693,22944
2178,2135,60407,45736,1616,51977,45687,542,4266,1364,2135,63206,48040,2135,2720,654,198,169046,45748,194,143532,22598,1664,18421,10869,2316,111434,33760
2179,3055,54299,45047,2387,53681,48700,620,3139,590,3055,56887,47342,3055,2515,828,298,76173,37498,290,53796,20360,2392,14871,10215,3376,94634,32748
2190,11114,45842,36437,8358,49652,42767,1679,848,-424,11114,48134,38252,11114,2265,586,1740,85653,40344,1695,65454,22054,7947,12325,7706,12838,58963,18377
2191,3197,53725,42784,2496,56118,48968,627,1165,-164,3197,56187,44887,3197,2308,689,355,76536,43491,350,50576,19614,2453,15026,9982,3668,83923,33332
2192,6734,45829,39364,5367,49269,45040,962,1656,203,6734,47874,41240,6734,2026,592,808,58348,34504,765,40130,16001,4992,11621,8205,8139,54133,19780
