Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2710,5849,42786,36896,4273,45209,41600,699,872,238,5849,45515,39398,5849,2196,500,530,141165,47172,509,133331,30409,4021,11568,7766,6306,114679,41916
2711,1923,44479,38227,1432,44538,40703,257,1405,78,1923,47553,40305,1923,2529,649,171,94494,37858,169,77900,29475,1374,11405,8008,2124,101807,34284
2712,742,43357,35506,496,41440,37310,92,2804,1368,742,46311,36979,742,2773,470,70,163016,49816,64,156766,35236,508,11587,7637,806,107825,40569
2713,1595,39994,34555,1053,42965,39290,164,67,-3,1595,43048,37004,1595,2500,493,146,149243,45760,136,123211,32706,1097,10302,6741,1744,104561,34773
2714,1391,43367,33471,961,44242,37328,183,1953,-217,1391,46864,35817,1391,2845,551,114,106261,36416,110,92666,25416,918,11930,7794,1574,140308,49181
2715,795,46786,38959,583,44131,40810,87,-620,-940,795,50898,41357,795,3088,709,84,125163,51702,78,121207,37347,585,12782,8060,895,81789,34296
2716,706,47428,37758,509,39770,36105,99,1,193,706,50753,40084,706,2830,526,58,106267,30022,57,93802,35620,502,13051,8287,773,153504,41182
2717,590,42498,35232,434,42010,38700,50,1622,-126,590,45113,37851,590,2373,441,58,111094,30021,56,95772,25328,412,10644,6611,725,82694,30862
2720,4346,51922,43321,3490,53989,47354,555,436,-14,4346,54081,45451,4346,2063,648,317,92230,35685,317,72883,22396,3301,14089,10026,4937,110257,49070
2721,115,45172,32115,57,36046,30523,21,3752,-667,115,50332,34508,115,3427,270,17,103086,65305,15,96703,46811,69,13366,7244,143,75875,28450
2722,1740,47611,38344,1338,45109,39824,181,1729,478,1740,50314,40844,1740,2509,558,162,100109,50904,156,84073,31218,1270,12631,8152,1933,114179,41807
2725,168,45549,39310,108,41933,39206,12,-75,710,168,49937,42798,168,4387,704,19,66591,18503,17,52402,14372,118,13014,8450,187,120549,40001
2726,167,45129,36999,110,39870,34099,37,2699,1807,167,47953,39661,167,2536,465,24,55645,33480,23,45408,24802,116,11542,6821,164,119501,46409
2727,218,52868,37031,147,39359,33105,25,8507,-1160,218,61062,41582,218,5230,578,22,48951,25094,22,42473,17209,153,16769,8188,228,117625,33076
2729,912,50361,40291,655,49684,43902,112,1179,918,912,53669,44532,912,2871,572,81,120891,53913,80,96435,35626,681,13680,9717,991,110650,47108
2730,812,41969,37568,650,43786,39658,83,67,-152,812,44010,40179,812,1907,481,50,112060,38144,52,91596,15576,570,10416,7468,993,85326,35626
2731,3460,47776,38410,2522,47813,41886,434,-164,-354,3460,50680,40308,3460,2714,633,273,85640,39780,271,70265,21619,2434,13759,8490,3758,137526,54268
2732,1034,40262,31799,647,42682,36481,146,374,415,1034,42719,33146,1034,2100,398,99,107191,40515,100,87779,25780,640,12729,7771,1060,130821,49394
2733,338,43771,38903,234,42869,38852,25,-455,-812,338,48353,41120,338,3427,682,22,149947,50232,24,129086,17182,240,12176,7603,349,114245,38257
2735,176,32058,29094,118,36113,37563,13,4196,1554,176,34116,31240,176,1780,300,15,44412,29128,14,35245,24234,110,7101,5236,189,62834,21798
2736,200,39674,32702,129,37316,31721,17,5119,1632,200,42529,33526,200,1742,346,16,195066,73162,16,169806,70564,128,11035,6545,215,104467,29356
2737,436,48511,39746,310,39171,37550,44,257,294,436,51082,41030,436,2315,489,19,220205,138078,19,199994,142728,324,12357,7363,480,65803,26659
2738,889,53352,41970,631,51774,44443,158,-1313,-1752,889,57294,45353,889,3081,726,81,74859,38471,79,53118,20407,635,16670,10008,926,193963,58763
2739,671,48699,39935,511,46392,43756,74,-1763,-911,671,52466,42663,671,3356,795,62,70740,24304,60,56075,23064,488,13670,8285,1129,97887,8293
2745,17448,62614,53053,15228,62930,56216,2836,-1740,-1960,17448,65616,55666,17448,2917,1140,1216,94840,34122,1189,72899,17720,14349,17694,12903,19222,109903,52207
2747,23029,53241,48007,20336,55604,51760,2524,-2251,-1785,23029,55722,50263,23029,2447,1017,1496,61974,29448,1441,44236,14283,18552,13570,10462,26702,72992,36216
2748,1377,66440,48009,1002,58003,48442,425,2962,969,1377,69977,51189,1377,3449,740,119,179796,50805,117,149433,30380,1060,21715,12840,1405,165763,47983
2749,9706,57692,50402,8451,59198,54099,1306,-2129,-2059,9706,60335,52956,9706,2611,1045,614,83067,31950,608,61662,18586,7910,15449,11515,11081,88536,42814
2750,24711,55274,48014,21068,57866,52485,3042,-1893,-1636,24711,58214,50155,24711,2911,942,1575,78221,30410,1519,57393,15237,19563,15098,11126,29013,94876,45643
2752,3007,57006,49736,2551,58305,52538,522,-1163,-977,3007,59712,52682,3007,2664,1024,211,83895,39430,214,57206,18354,2426,15248,11586,3388,95787,49661
2753,9883,54963,45066,7940,55807,49170,1652,1206,-234,9883,57433,47185,9883,2425,778,877,90626,41600,854,67998,20559,7627,15454,10431,11193,99797,41828
2754,3308,53696,44421,2610,55915,49993,455,832,-400,3308,56087,46200,3308,2316,738,281,89963,28350,283,68064,17649,2510,14967,10286,3655,109475,47635
2756,20196,57339,47070,16824,56886,50296,2889,-60,-852,20196,59967,49290,20196,2550,879,1750,108770,44544,1725,84933,22695,16113,15799,10658,23221,95850,41625
2757,564,57998,43134,407,55134,48319,114,666,-264,564,63712,45365,564,4411,630,65,110119,50076,64,106895,29422,430,17529,10140,597,136851,54323
2758,5466,58769,48235,4218,60447,53356,1066,-322,-1319,5466,61883,50660,5466,2957,797,594,98948,37752,601,74803,19144,4194,17606,12381,6038,134476,59572
2759,16119,54259,48990,14283,56491,52578,2168,-2808,-2202,16119,56846,51288,16119,2524,1084,1119,65381,35000,1091,43648,17009,13240,13676,10687,18581,85559,42884
2760,17016,49389,45619,15132,51799,49254,1421,-2257,-2218,17016,51715,47767,17016,2301,976,1091,65032,27980,1054,49147,14938,13670,11775,9249,20381,56764,27595
2761,17265,51562,47517,15546,54811,51778,1880,-4247,-3196,17265,53961,49786,17265,2390,1140,1240,130664,34560,1204,115904,17622,13985,12681,10128,19562,61171,32957
2762,2993,57905,51799,2561,61649,57634,407,-1509,-1744,2993,60316,54402,2993,2398,930,238,98703,31598,224,86417,18014,2420,15806,12653,3239,83382,39812
2763,18004,56164,49986,15946,59328,54376,2544,-4475,-3253,18004,58564,52298,18004,2373,964,1368,60709,27260,1339,41958,13225,14565,14837,11455,20563,79833,40685
2765,8825,59455,46824,6990,55846,50276,1599,1387,213,8825,62202,49341,8825,2577,731,743,86593,37349,728,65518,18690,6902,17788,10893,9931,106149,39253
2766,8328,50585,46314,7408,53368,50852,974,-3116,-2756,8328,52870,48558,8328,2249,1056,600,60163,32296,577,42634,15457,6691,12431,9701,9658,63825,29430
2767,12350,51620,46950,11041,55135,51686,1847,-4420,-3348,12350,53895,49389,12350,2265,1073,867,123922,25482,824,113441,13118,9916,12861,10097,14486,65010,30271
2768,15783,61593,52253,13681,65958,58941,3251,-6077,-4528,15783,64338,54858,15783,2693,1024,1373,115334,32434,1331,95997,16304,12596,17906,13449,17468,86641,47204
2769,6574,69577,59602,5759,72661,66714,1406,-6823,-5118,6574,72625,63016,6574,3012,1264,566,99597,35156,549,76488,15438,5485,20762,15827,6779,78785,50931
2770,26194,45640,42020,23133,47999,45637,1963,-3210,-1972,26194,47742,43912,26194,2092,852,1727,54717,30316,1691,37688,15007,20210,10617,8254,34378,46759,17746
2773,3757,68422,51503,2918,70236,58264,718,-1996,-1606,3757,71277,54144,3757,2819,950,343,131786,29522,331,97883,14544,2837,22850,15340,4213,178523,85129
2774,7807,59983,49222,6376,63402,55460,1261,-1863,-1063,7807,62564,51344,7807,2553,908,659,96530,29705,629,72017,14488,6003,17999,13171,9025,139924,67857
2775,798,54498,39591,590,50921,44347,124,13876,2442,798,57231,41821,798,2627,626,128,99196,33986,123,82490,17918,583,17107,8872,964,100486,40808
2776,2482,58728,48647,2061,61050,53848,391,122,-312,2482,61166,50499,2482,2405,947,228,65490,26762,220,45851,11368,1944,16810,11973,2830,135917,64559
2777,10537,57666,47053,8467,60882,53347,1598,-657,-774,10537,60129,49132,10537,2424,850,960,70071,26448,922,47710,13799,8037,16842,12438,11811,133031,68087
2778,1480,57472,46512,1209,59707,52670,198,-656,-589,1480,60035,49516,1480,2489,891,176,75829,22950,170,53887,9742,1125,16840,12839,1703,133959,67837
2779,2780,52382,44402,2273,56432,50091,339,43,-647,2780,54536,46116,2780,2120,800,284,51593,21813,280,34821,10688,2098,14332,10796,3191,106638,55649
2780,7328,48505,36605,5179,48852,40625,1032,3420,966,7328,50656,38266,7328,2082,470,1170,74037,26156,1129,52176,11691,5045,14314,8479,8710,118278,39614
2782,3402,56560,40761,2364,57268,48601,568,3483,1306,3402,59330,43427,3402,2680,643,422,69748,26916,410,47361,11730,2379,18622,11262,3920,158527,65069
2783,1527,49702,42264,1222,52846,47326,184,744,66,1527,51821,44202,1527,2101,678,187,58354,26427,178,39443,14147,1157,12980,9150,1744,101726,48924
2784,719,52477,42791,559,56696,49007,95,222,-1464,719,54575,45682,719,2098,637,100,60418,24368,105,42411,11176,527,15026,10205,833,108761,49471
2785,2639,49940,37829,1795,54175,44606,422,2183,1270,2639,52138,39368,2639,2063,541,443,89222,26807,427,72839,12152,1819,15172,8944,3047,145092,55238
2786,650,46873,36276,456,50300,42878,94,3284,382,650,49274,38123,650,2357,496,96,66241,24454,94,53143,16788,431,13780,8816,791,126217,38377
2787,2382,49686,43386,1749,53486,49741,292,2279,363,2382,52265,45750,2382,2226,702,257,81025,36623,255,64923,25671,1718,14085,10657,2670,112494,45578
2790,7299,53368,41773,5739,57836,47704,886,104,-310,7299,55442,43755,7299,1988,720,642,85739,30238,641,68034,18614,5325,15713,9985,8680,122440,46951
2791,175,51044,41420,123,47072,43465,46,4517,-160,175,54640,44286,175,2746,594,24,79301,55219,23,67749,38495,122,15756,9619,194,120403,42541
2792,190,53352,37242,138,45470,37101,29,125,-455,190,57843,41424,190,3588,456,21,45725,40312,21,33587,25029,137,16265,10434,221,169278,36991
2793,454,49199,35066,306,48245,39622,38,1195,794,454,52449,37866,454,2169,411,46,98634,44172,49,79017,34236,300,18153,7000,502,105192,37354
2794,5475,43087,36738,3883,43740,39887,625,1645,533,5475,45644,38352,5475,2269,489,544,95142,30394,538,79778,21620,3807,11117,7100,6022,98273,34999
2795,22232,53635,43918,17979,54413,48160,3095,562,-282,22232,56225,46294,22232,2461,852,1793,106694,36512,1755,86339,23530,16968,14913,10057,25021,117589,48302
2797,234,38844,34714,159,52281,45192,28,1300,136,234,41308,36803,234,1872,609,43,116712,35088,42,109260,37637,149,11165,7486,257,90205,41440
2798,1203,61258,44011,895,62900,50245,249,-444,-90,1203,64522,47175,1203,3022,905,177,426457,34464,174,412373,32570,878,20986,11538,1287,141635,67953
2799,2123,48756,41301,1692,52419,46250,260,-574,-656,2123,51532,44296,2123,2522,1002,196,70605,23196,181,65218,23973,1610,12443,8434,2467,91183,41787
2800,24534,56388,44454,20178,55955,48202,3469,293,-701,24534,59381,47204,24534,2782,1032,2069,97165,33747,2056,68752,19764,18796,16329,10320,27796,117064,47181
2803,152,39867,35188,97,45267,42715,17,7229,1956,152,43691,41040,152,3029,422,21,78509,36677,20,77148,41786,101,11282,7866,165,109671,42062
2804,1333,44926,37000,933,44562,39364,176,4074,30,1333,48198,39609,1333,2293,433,166,136257,40470,168,116440,35746,944,12118,7631,1495,95010,38012
2805,210,49298,38013,150,44896,42106,28,1608,84,210,53237,41546,210,2044,400,28,93600,34489,28,70880,27504,146,15450,7277,246,63444,36056
2806,464,48283,38528,318,46949,43475,57,2999,-440,464,52210,42315,464,2533,604,52,120631,64507,52,108256,57623,332,13526,9009,501,97744,38859
2807,176,49348,41020,122,41105,38172,12,581,170,176,52829,42446,176,2588,352,14,87943,26237,14,70515,18044,122,13739,8296,190,70621,23596
2808,56,40612,36748,41,50167,42026,9,4938,-1202,56,43549,39856,56,2470,414,12,61896,47838,12,50036,42659,37,11245,6714,77,77060,33346
2809,116,48549,41033,68,40188,39698,9,7783,6573,116,51614,41617,116,2557,238,19,198231,68060,20,171201,36588,79,13953,10136,125,98393,36032
2810,1636,47597,37598,1018,40264,37304,213,3297,582,1636,51474,41238,1636,3098,545,162,137678,48740,158,108401,35285,1126,12867,7886,1715,118757,42038
2820,3067,44413,37277,2248,47055,41836,381,316,-66,3067,47300,39695,3067,2307,669,302,113935,39248,288,103874,29827,2160,11493,7845,3485,87787,30337
2821,2521,45737,39166,1814,48935,44493,303,2302,171,2521,49570,41578,2521,2431,509,240,96209,38984,235,82475,27904,1808,12162,8696,2811,102410,38970
2823,777,45189,37821,536,43071,38687,125,2888,1086,777,48980,40858,777,3104,439,73,198209,39555,73,165228,29737,545,12358,7899,828,100580,33218
2824,1221,53177,43222,887,46909,44267,164,-56,300,1221,57099,45579,1221,3147,747,134,99200,48518,136,77724,26955,922,15040,9380,1407,120171,35796
2825,1341,54221,44812,1020,53186,45180,187,745,-344,1341,57740,47395,1341,3233,800,130,170023,53818,124,156460,34482,1017,15792,10290,1455,94515,35766
2827,1853,44187,37257,1330,44345,40487,217,1537,410,1853,47589,40573,1853,2177,473,173,139876,52240,171,123578,40014,1293,11852,7731,2033,82199,30168
2828,372,45202,32586,223,32846,24712,44,2759,510,372,52961,38160,372,4383,300,58,149067,49328,59,126516,36413,248,12276,6786,409,106816,22647
2829,1455,44607,40427,1029,46316,42695,199,2030,150,1455,50559,43806,1455,2886,500,161,201538,40228,162,176387,43554,1073,13026,8127,1698,107964,31251
2830,22813,51469,43663,18729,52052,46451,3081,377,-354,22813,53969,45732,22813,2277,660,1805,100291,36150,1769,79685,23099,17450,13869,9314,25752,104160,39333
2831,1490,42234,37066,981,48021,43567,198,1625,1258,1490,46284,40933,1490,2669,365,210,102733,46514,213,90595,35086,1030,11366,8139,1656,86549,31417
2832,1228,28470,34966,931,46202,41204,161,-1749,-1107,1228,31775,37027,1228,2061,439,102,134471,41642,103,134165,34309,829,10812,7571,1509,70943,18161
2833,238,34845,35808,160,47763,43829,31,-4625,-2313,238,38348,38172,238,2579,866,33,117167,44480,31,108315,40775,165,10610,7316,315,64036,23321
2834,842,36621,32297,623,41771,36212,131,3895,-267,842,38530,33490,842,1746,408,88,77161,20200,88,73042,17922,544,9819,6378,1131,46104,17162
2835,2209,65033,52853,1823,70158,60152,347,-3435,-1901,2209,67674,55303,2209,2200,727,178,89097,32836,179,69273,19881,1714,20414,15802,2644,92497,46100
2836,303,51549,41417,218,45313,43418,13,-1972,-1058,303,55172,42928,303,2271,354,53,94193,29856,50,70620,17490,225,13724,7720,433,61786,18308
2839,459,46058,41257,357,48860,45245,53,-1808,-1288,459,49233,43687,459,1843,475,51,86570,47335,49,77492,35817,337,11925,9047,705,49882,17631
2840,1313,48712,44983,1007,50329,47260,213,-324,-56,1313,52422,47955,1313,2569,512,162,131086,48300,151,103290,31544,990,12979,9731,1672,65786,26228
2842,291,32354,29553,175,44337,37759,40,3437,525,291,34862,30464,291,1511,249,40,92826,42698,37,91205,35767,169,9539,6728,313,70480,29781
2843,692,39466,30836,478,43268,37074,105,-524,-644,692,44284,34544,692,2890,513,84,102637,26230,83,94023,33286,425,11557,6697,716,97321,40483
2844,628,47557,37046,409,43876,39886,88,1363,641,628,51356,39546,628,2476,459,73,124431,31257,74,106072,33138,429,13963,8135,674,98246,37008
2845,1019,53335,42584,836,59312,48326,85,-496,-304,1019,55523,44519,1019,2054,869,74,110121,31238,73,98629,23849,761,15158,10529,1181,112015,50690
2846,130,38779,27113,89,43197,36777,14,2683,-126,130,40890,29944,130,1904,373,24,30037,14361,22,29250,8692,70,12679,7759,156,119549,51302
2847,1070,51164,41094,886,55966,46858,90,-1620,-868,1070,53213,42894,1070,1923,845,71,41324,22785,74,33124,14804,761,15076,10430,1300,112611,48524
2848,528,42787,31772,376,49721,39368,50,1725,-586,528,44448,34438,528,1607,469,50,125489,34846,49,109289,16668,329,12413,7458,676,99725,35146
2849,782,42912,32256,502,52512,41538,119,540,-1248,782,45783,35009,782,2161,462,143,84173,25945,144,76521,29017,479,14146,8939,848,125076,53215
2850,9362,54475,40118,7233,59478,46083,1513,-872,-1380,9362,57239,42110,9362,2454,760,989,77956,30955,995,64802,26183,6684,17295,9863,10402,111995,45601
2852,1652,49284,36682,1246,58713,44068,227,694,-16,1652,51732,39392,1652,2217,730,180,88594,33607,181,80533,32284,1135,15143,8433,1927,97852,43059
2864,465,48183,39447,331,50874,46543,62,-480,642,465,51784,42434,465,2758,617,55,71732,36169,54,69490,45305,327,13954,9566,502,116907,58247
2865,475,47054,40364,340,50339,45375,61,6,246,475,50417,42132,475,2920,574,42,121752,59297,40,105201,44686,336,13244,9664,494,100799,48279
2866,1629,48016,38399,1171,50404,43813,264,382,-238,1629,51233,40489,1629,2670,625,164,84775,38070,167,68303,26705,1123,14156,9270,1685,115213,47880
2867,322,43356,37273,216,37961,33072,36,1951,2318,322,48240,39436,322,3509,504,45,85829,35241,43,70334,18545,215,11614,8227,363,95595,38542
2868,321,45551,34075,205,43613,40311,47,3996,3131,321,49395,35975,321,3612,537,39,79516,40695,40,68928,23238,216,13266,6539,344,107508,39837
2869,698,40069,33992,460,40691,35692,81,3958,1140,698,43845,36442,698,2866,364,79,94964,56650,81,75160,42094,445,11459,7654,769,82887,27094
2870,6243,49872,41050,4888,53097,46002,869,-417,-545,6243,52364,43537,6243,2347,820,493,112475,34076,497,90072,24015,4570,13843,9115,6952,103312,41243
2871,4782,50888,39417,3542,47275,42353,624,2285,409,4782,54146,41760,4782,2458,650,453,107845,42025,447,87044,25862,3488,15104,8076,5375,103093,36846
2873,375,45736,38586,201,42477,40664,31,3140,2084,375,50517,41812,375,4061,300,61,139156,55685,53,120283,83564,244,14458,9551,350,103360,43311
2874,248,41738,34246,141,40652,33658,26,4746,2278,248,45491,37348,248,2944,265,34,109106,56244,33,93807,53418,172,10851,5861,256,102396,39457
2875,484,39408,32270,291,38555,31062,52,3958,1406,484,43904,35625,484,3278,510,64,100504,54795,58,95872,50288,321,9596,6053,498,93805,29382
2876,251,36834,27924,140,40518,37202,20,7164,1241,251,41168,30872,251,1374,150,33,161008,48862,34,134355,41228,144,9920,5779,271,82690,21783
2877,1978,44121,38320,1400,46401,41578,215,2123,52,1978,48888,41117,1978,2395,568,193,108484,45695,175,100377,38720,1411,11790,8043,2208,83744,27292
2878,180,61715,46836,104,46787,39542,27,9564,2302,180,66735,50014,180,4521,826,25,150691,60245,24,116220,37604,137,19112,11913,187,87613,29098
2879,215,53281,42702,155,51793,45259,28,-3496,-536,215,55694,45137,215,2213,465,26,157760,59386,26,127559,34097,162,14337,9606,344,60299,15329
2880,8794,53226,43628,7283,55239,47475,1116,-2020,-1340,8794,55354,45564,8794,2032,820,615,92923,27195,604,73884,15495,6700,14366,9994,10773,103716,40969
2898,297,49157,41602,237,41053,35601,49,11270,6472,297,50606,41968,297,1322,392,48,104168,19872,43,85587,11007,216,12411,8003,302,118099,38445
2900,1274,67532,59024,998,72349,68348,209,-6323,-4074,1274,69697,61384,1274,2068,574,55,91619,19408,52,84714,9672,1044,19030,15170,1289,177239,37458
2902,9314,64308,54590,7295,67566,61009,1540,-4562,-3258,9314,66617,57308,9314,2273,692,603,63243,22724,593,43689,9763,7564,17974,13418,10141,171158,65052
2903,5912,62808,55230,4645,66152,61579,1039,-5279,-3585,5912,65223,58004,5912,2376,718,341,90974,29124,344,70742,11769,4807,17213,13412,6372,173241,66235
2904,8647,68642,58445,6760,70648,64558,1677,-5590,-3992,8647,71218,61577,8647,2531,743,502,71211,27250,478,46270,12200,7187,19500,14466,8834,185356,74559
2905,18219,62188,55974,15656,64127,60224,2697,-5977,-4775,18219,64276,58228,18219,2061,731,1053,65262,28827,1028,44157,13354,15223,16573,13441,19484,130715,49333
2906,11137,63630,57243,9719,65772,62541,1673,-7263,-5500,11137,65689,59632,11137,2042,722,597,78089,26700,581,57779,12960,9309,17237,14222,11785,134579,50649
